"BEGICH, MARK",S,AK,0
"DUNBAR, FORREST",H,AK,0
"LEFLORE, BURTON R",H,AL,1
"SMITH, JESSE TREMAIN",H,AL,3
"LESTER, MARK",H,AL,6
"SEWELL, TERRI A.",H,AL,7
"PRYOR, MARK LUNSFORD",S,AR,0
"MCPHERSON, JACKIE",H,AR,1
"HAYS, PATRICK HENRY",H,AR,2
"WITT, JAMES LEE",H,AR,4
"FALEOMAVAEGA, ENI",H,AS,0
"KIRKPATRICK, ANN",H,AZ,1
"BARBER, RONALD",H,AZ,2
"GRIJALVA, RAUL M",H,AZ,3
"WEISSER, MIKEL ",H,AZ,4
"WOODS, JAMES ISSAC",H,AZ,5
"WILLIAMSON, W JOHN",H,AZ,6
"GALLEGO, RUBEN",H,AZ,7
"SINEMA, KYRSTEN",H,AZ,9
"HALL, HEIDI",H,CA,1
"HUFFMAN, JARED MR",H,CA,2
"GARAMENDI, JOHN",H,CA,3
"THOMPSON, MIKE MR.",H,CA,5
"MATSUI, DORIS",H,CA,6
"BERA, AMERISH",H,CA,7
"CONAWAY, BOB",H,CA,8
"MCNERNEY, JERRY",H,CA,9
"EGGMAN, MICHAEL RAY",H,CA,10
"DESAULNIER, MARK",H,CA,11
"PELOSI, NANCY",H,CA,12
"LEE, BARBARA",H,CA,13
"SPEIER, JACKIE",H,CA,14
"SWALWELL, ERIC MICHAEL",H,CA,15
"COSTA, JIM",H,CA,16
"KHANNA, ROHIT",H,CA,17
"ESHOO, ANNA",H,CA,18
"LOFGREN, ZOE",H,CA,19
"FARR, SAM",H,CA,20
"RENTERIA, AMANDA",H,CA,21
"MARRERO, SUZANNA AUGILERA",H,CA,22
"GARCIA, RAUL",H,CA,23
"CAPPS, LOIS G",H,CA,24
"BROWNLEY, JULIA",H,CA,26
"CHU, JUDY",H,CA,27
"SCHIFF, ADAM",H,CA,28
"CARDENAS, TONY",H,CA,29
"SHERMAN, BRAD",H,CA,30
"AGUILAR, PETE",H,CA,31
"NAPOLITANO, GRACE",H,CA,32
"LIEU, TED",H,CA,33
"BECERRA, XAVIER",H,CA,34
"EDWARDS, ADRIENNE NICOLE",H,CA,34
"GAGNIER, CHRISTINA",H,CA,35
"TORRES, NORMA",H,CA,35
"RUIZ, RAUL DR.",H,CA,36
"BASS, KAREN",H,CA,37
"SANCHEZ, LINDA",H,CA,38
"ANDERSON, PETER O",H,CA,39
"ROYBAL-ALLARD, LUCILLE",H,CA,40
"TAKANO, MARK",H,CA,41
"SHERIDAN, TIMOTHY J",H,CA,42
"WATERS, MAXINE MS",H,CA,43
"HAHN, JANICE",H,CA,44
"LEAVENS, DREW EUGENE",H,CA,45
"SANCHEZ, LORETTA",H,CA,46
"LOWENTHAL, ALAN",H,CA,47
"SAVARY, SUZANNE JOYCE",H,CA,48
"PEISER, DAVE",H,CA,49
"KIMBER, JAMES HARVEY",H,CA,50
"VARGAS, JUAN C.",H,CA,51
"PETERS, SCOTT",H,CA,52
"DAVIS, SUSAN",H,CA,53
"UDALL, MARK E",S,CO,0
"DEGETTE, DIANA L.",H,CO,1
"POLIS, JARED",H,CO,2
"TAPIA, ABEL J",H,CO,3
"MEYERS, VICTOR S",H,CO,4
"HALTER, IRVING LESLIE JR",H,CO,5
"ROMANOFF, ANDREW",H,CO,6
